,,,
EBS Volume,REGION :eu-west-1
VolumeId,Status,InstanceId,AttachTime,Size,Encryption_State
vol-0c25a45e39045ccde,in-use,i-0a418625c6f333d7d,2018-07-09 20:34:49+00:00,100,False
vol-02b9210df70021b1b,available,N/A,N/A,20,False
vol-00affa5661d876742,in-use,i-0857a4204477d2889,2018-07-10 16:18:10+00:00,20,False
vol-0589ca4ff9c6fa06e,in-use,i-0e45a6a7aea1dadc4,2018-07-10 16:18:10+00:00,20,False
vol-09d58ce71454c860c,in-use,i-0dec6131702fa7be7,2018-07-10 16:18:10+00:00,20,False
vol-003da3ef1c92d72d6,available,N/A,N/A,20,False
vol-0f3ee91755613dc9c,in-use,i-0447e21fad6f7d614,2018-07-11 17:28:21+00:00,20,False
vol-0f0304f5a5bb72c96,available,N/A,N/A,6,False
vol-0d5c38b2332c4040f,available,N/A,N/A,40,False
vol-00dbeadf3839d6a0b,available,N/A,N/A,6,False
vol-0288225b55fdeb7b8,available,N/A,N/A,40,False
vol-03888a756dd97f12b,available,N/A,N/A,40,False
vol-0a9eb8d22ec1e05d3,available,N/A,N/A,6,False
vol-04424bb554bb9ee7c,available,N/A,N/A,40,False
vol-0e2fcde7851d6cae5,available,N/A,N/A,6,False
vol-08b8d34b1f1ec241a,available,N/A,N/A,6,False
vol-06b8485a11dbfc5dc,available,N/A,N/A,40,False
vol-0549400c600b96437,available,N/A,N/A,6,False
vol-0a73456cc5c14a7a4,available,N/A,N/A,40,False
vol-002a0da1e6a6ff2d4,available,N/A,N/A,6,False
vol-092f01f4d5ce1dbd2,available,N/A,N/A,6,False
vol-09584394c2c024704,available,N/A,N/A,40,False
vol-059feda4d9cf95848,available,N/A,N/A,40,False
vol-02827847c4a1d02c7,available,N/A,N/A,40,False
vol-00832b79aa4fbfc07,available,N/A,N/A,6,False
vol-0bf0c09460e459a0b,available,N/A,N/A,6,False
vol-02eaa408bd7f69206,available,N/A,N/A,6,False
vol-0a515d380a984286b,available,N/A,N/A,40,False
vol-0ad128fe6cb6e73c4,available,N/A,N/A,6,False
vol-00cd017ce2d45974f,available,N/A,N/A,40,False
vol-041d4c9c7a2db1113,available,N/A,N/A,40,False
vol-05e820cafb293cbc8,available,N/A,N/A,6,False
vol-055419a4c096499ec,available,N/A,N/A,6,False
vol-0ff7c2fa8be83406d,available,N/A,N/A,6,False
vol-0c3bc10359d45d065,available,N/A,N/A,6,False
vol-062b72264148c0708,available,N/A,N/A,40,False
vol-0b9701da478f09b48,available,N/A,N/A,40,False
vol-0bb425a099840e9bc,available,N/A,N/A,40,False
vol-03347826f5f362a50,available,N/A,N/A,40,False
vol-096c4e8802f8bd64d,available,N/A,N/A,6,False
vol-09b2b9c0c43126c27,available,N/A,N/A,40,False
vol-0ec5690336b385a0b,available,N/A,N/A,40,False
vol-0eb158ab8f088bb8a,available,N/A,N/A,40,False
vol-02677d6cbffa6f588,available,N/A,N/A,6,False
vol-0a4e905444f1e8d2e,available,N/A,N/A,6,False
vol-0318deb1d91769091,available,N/A,N/A,6,False
vol-08e4ab852c9109721,available,N/A,N/A,6,False
vol-0371a32455b0daf4c,available,N/A,N/A,40,False
vol-06019f58cd6794e9e,available,N/A,N/A,40,False
vol-0022ca4617417281f,available,N/A,N/A,6,False
vol-0c86258d5cd413d63,available,N/A,N/A,40,False
vol-0d66e05e841b60d57,available,N/A,N/A,40,False
vol-043a02811b7a969a7,available,N/A,N/A,40,False
