InstanceId,Hostname,InstanceState,InstanceIP,InstanceType,InstanceAvailabilityZone,InstanceSecurityGroup,CostCenter,Instancename,CreateDate,IDM,OSPlatform,Organization,Environment,PTSchedule 
i-069441703514452a1,AZ-EU-ioprev-ec2-paas-k8s-poc,stopped,10.80.75.1,t2.large,eu-west-1b,; AZ-EU-ioprev-SG-paas-k8s,6807,AZ-EU-ioprev-ec2-paas-k8s-poc-w02,07/08/2018,N/a,Linux,PaaS,poc,N/A 
i-0014c6e05f5c5d759,AZ-EU-ioprev-ec2-paas-test-k8s-r02,stopped,10.80.71.103,t2.medium,eu-west-1a,; AZ-EU-ioprev-SG-paas-k8s,6807,AZ-EU-ioprev-ec2-paas-test-k8s-r02,27/07/2018,N/A,Linux,PaaS,Test,N/A 
i-083584b7d862c9e31,AZ-EU-ioprev-ec2-paas-k8s-poc,stopped,10.80.73.158,t2.large,eu-west-1b,; AZ-EU-ioprev-SG-paas-k8s,6807,AZ-EU-ioprev-ec2-paas-k8s-poc-w04,07/08/2018,N/a,Linux,PaaS,poc,N/A 
i-0ab476403bc2a32d9,AZ-EU-ioprev-ec2-paas-k8s-test2-r01,stopped,10.80.71.17,t2.medium,eu-west-1a,; AZ-EU-ioprev-SG-paas-k8s,6807,AZ-EU-ioprev-ec2-paas-k8s-test2-r01,11/07/2018,N/A,Linux,PaaS,Test,N/A 
i-03d0226b401d078a5,AZ-EU-ioprev-ec2-paas-k8s-test,stopped,10.80.72.216,t2.large,eu-west-1b,; AZ-EU-ioprev-SG-paas-k8s,6807,AZ-EU-ioprev-ec2-paas-k8s-test-w02,07/08/2018,N/a,Linux,PaaS,test,N/A 
i-00195835b67d5a898,AZ-EU-ioprev-ec2-paas-k8s-test2-lb01,stopped,10.80.69.199,t2.medium,eu-west-1a,; AZ-EU-ioprev-SG-paas-k8s-nginx-public; AZ-EU-ioprev-SG-paas-k8s,6807,AZ-EU-ioprev-ec2-paas-k8s-test2-lb01,10/07/2018,N/A,Linux,PaaS,Dev,N/A 
i-016bed44bb99f967c,AZ-EU-ioprev-ec2-paas-k8s-test,stopped,10.80.75.41,t2.large,eu-west-1b,; AZ-EU-ioprev-SG-paas-k8s,6807,AZ-EU-ioprev-ec2-paas-k8s-test-w05,07/08/2018,N/a,Linux,PaaS,test,N/A 
i-0649641af4f8a4b52,AZ-EU-ioprev-ec2-paas-k8s-test,stopped,10.80.71.156,t2.large,eu-west-1a,; AZ-EU-ioprev-SG-paas-k8s,6807,AZ-EU-ioprev-ec2-paas-k8s-test-lb1,07/08/2018,N/a,Linux,PaaS,test,N/A 
i-0f3f152970d7eed68,IECDALPAASDES03,stopped,10.80.76.183,t2.medium,eu-west-1c,; AZ-EU-iopreview-PaaS-SG-Elasticsearch,6807,AZ-EU-iopreview-PaaS-EC2-Elasticsearch_Master_03,09/07/2018,N/A,CentOS,CS&IS,Dev,N/A 
i-09bc91604d9275def,AZ-EU-ioprev-ec2-paas-k8s-poc,stopped,10.80.76.40,t2.large,eu-west-1c,; AZ-EU-ioprev-SG-paas-k8s,6807,AZ-EU-ioprev-ec2-paas-k8s-poc-w03,07/08/2018,N/a,Linux,PaaS,poc,N/A 
i-068b64ce6d6c985b2,AZ-EU-ioprev-ec2-paas-k8s-test,stopped,10.80.71.8,t2.large,eu-west-1a,; AZ-EU-ioprev-SG-paas-k8s,6807,AZ-EU-ioprev-ec2-paas-k8s-test-w01,07/08/2018,N/a,Linux,PaaS,test,N/A 
i-0447e21fad6f7d614,IECDALPAASDELK02,stopped,10.80.75.104,t2.medium,eu-west-1b,; AZ-EU-iopreview-PaaS-SG-Elasticsearch,6807,AZ-EU-iopreview-PaaS-EC2-ELK_Ansible_Test_02,11/07/2018,N/A,CentOS,CS&IS,Dev,N/A 
i-03f97449fa06cbe50,AZ-EU-ioprev-ec2-paas-k8s,stopped,10.80.78.208,t2.medium,eu-west-1c,; AZ-EU-ioprev-SG-paas-k8s,6807,AZ-EU-ioprev-ec2-paas-k8s-test2-m02,10/07/2018,N/A,Linux,PaaS,Dev,N/A 
i-01cd70a673700632c,AZ-EU-ioprev-ec2-paas-k8s-poc,stopped,10.80.68.81,t2.large,eu-west-1a,; AZ-EU-ioprev-SG-paas-k8s,6807,AZ-EU-ioprev-ec2-paas-k8s-poc-w01,07/08/2018,N/a,Linux,PaaS,poc,N/A 
i-0a7947dacfe1db72b,IECDALPAASDES01,stopped,10.80.69.133,t2.medium,eu-west-1a,; AZ-EU-iopreview-PaaS-SG-Elasticsearch,6807,AZ-EU-iopreview-PaaS-EC2-Elasticsearch_Master_01,09/07/2018,N/A,CentOS,CS&IS,Dev,N/A 
i-03a34d61f6a72a178,IECDALPAASDELK05,stopped,10.80.68.19,t2.medium,eu-west-1a,; AZ-EU-iopreview-PaaS-SG-Elasticsearch; AZ-EU-iopreview-PaaS-SG-Kibana,6807,AZ-EU-iopreview-PaaS-EC2-ELK_Ansible_Test_05,11/07/2018,N/A,CentOS,CS&IS,Dev,N/A 
i-02df6db06b781fde9,,running,10.80.72.32,t2.micro,eu-west-1b,; AZ-EU-ioprev-SG-paas-k8s,,ec2-cognito-test,,,,,, 
i-0f0c981d73e67126c,AZ-EU-ioprev-ec2-paas-k8s-test,stopped,10.80.69.234,t2.large,eu-west-1a,; AZ-EU-ioprev-SG-paas-k8s,6807,AZ-EU-ioprev-ec2-paas-k8s-test-m01,07/08/2018,N/a,Linux,PaaS,test,N/A 
i-0c91b84d862e02883,AZ-EU-ioprev-ec2-paas-admin,stopped,10.80.68.218,t2.medium,eu-west-1a,; AZ-EU-ioprev-SG-paas-k8s,6807,AZ-EU-ioprev-ec2-paas-admin,11/07/2018,N/A,Linux,PaaS,Test,N/A 
