,,,,,
iopreview S3 BUCKET LIST
BucketName,Region,Environment,Cost Center,Other_Tags 
aws-athena-query-results-008381431361-eu-west-1,eu-west-1,N/A,N/A,N/A 
aws-athena-query-results-008381431361-us-east-1,us-east-1,N/A,N/A,N/A 
aws-az-io-storageclass-poc,us-east-1,N/A,N/A,N/A 
aws-bkp01,ap-southeast-2,N/A,N/A,N/A 
aws-iopreview-test,us-east-1,N/A,N/A,N/A 
aws-jenkis,us-east-2,N/A,N/A,N/A 
aws-logs-008381431361-us-east-1,us-east-1,N/A,N/A,N/A 
awsmini-summit-photos,eu-west-1,N/A,N/A,N/A 
az-aws-config,ap-southeast-1,N/A,N/A,N/A 
az-aws-config-iopreview,ap-southeast-1,N/A,N/A,N/A 
az-aws-inventory,ap-south-1,N/A,N/A,N/A 
az-aws-rman-backup,us-east-1,N/A,N/A,N/A 
az-billz,us-east-1,N/A,N/A,N/A 
az-enterprise-data-hub-dev-us,us-east-1,N/A,N/A,N/A 
az-eu-commercial-spectrum-1,eu-west-1,N/A,N/A,N/A 
az-eu-commercial-spectrum-2,eu-west-1,N/A,N/A,N/A 
az-eu-commercial-veeva-archive-test,eu-west-1,N/A,N/A,N/A 
az-eu-io-agereport-accesskey,eu-west-1,N/A,N/A,N/A 
az-eu-io-cloudtraillog-morp,eu-west-1,N/A,N/A,N/A 
az-eu-io-ebssnapshot-info,eu-west-1,N/A,N/A,N/A 
az-eu-io-vmimport,eu-west-1,N/A,N/A,N/A 
az-eu-opt-bucket,eu-west-1,N/A,N/A,N/A 
az-eu-promo-matsdev,eu-west-1,N/A,N/A,N/A 
az-eu-promo-matsdev-stage,eu-west-1,N/A,N/A,N/A 
az-eu-rdi-etmf-test-external,eu-west-1,N/A,N/A,N/A 
az-eu-rdi-etmf-test-internal,eu-west-1,N/A,N/A,N/A 
az-eu-task-s3select,eu-west-1,N/A,N/A,N/A 
az-firehouse-abh,us-west-2,N/A,N/A,N/A 
az-iopreview-cloud-trial-testing,us-east-1,N/A,N/A,N/A 
az-newec2-notification,eu-west-1,N/A,N/A,N/A 
az-poc-coe-versoning,eu-west-1,N/A,N/A,N/A 
az-poc-coe-versoning-us,us-east-1,N/A,N/A,N/A 
az-s3-filegw-poc,us-east-1,N/A,N/A,N/A 
az-sg-inventory-dynamodb,ap-southeast-1,N/A,N/A,N/A 
az-temp-copy,eu-west-1,N/A,N/A,N/A 
az-us-commercial-o2-archive-temp-dev,us-east-1,Dev,587111,N/ACreation Date:20180422 ; IDMD No:IDMD0005137 ; Organization:Commercial ; OS:S3 ; Hostname:USCVLO2DEV01 ; Name:az-us-commercial-o2-archive-dev ;  
az-us-commercial-o2-athena-poc-dev,us-east-1,Dev,587111,N/ACreation Date:20180420 ; IDMD No:IDMD0005137 ; Organization:Commercial ; OS:S3 ; Hostname:USCVLO2DEV01 ; Name:az-us-commercial-o2-datalake-dev ;  
az-us-commercial-o2-code-temp-dev,us-east-1,Dev,587111,N/ACreation Date:20180522 ; IDMD No:IDMD0005137 ; Organization:Commercial ; OS:S3 ; Hostname:USCVLO2DEV01 ; Name:az-us-commercial-o2-code-dev ;  
az-us-commercial-o2-code-temp-test,us-east-1,Test,587111,N/ACreation Date:20180522 ; IDMD No:IDMD0005137 ; Organization:Commercial ; OS:S3 ; Hostname:USCVLO2TEST01 ; Name:az-us-commercial-o2-code-test ;  
az-us-commercial-o2-datalake-temp-dev,us-east-1,Dev,587111,N/ACreation Date:20180420 ; IDMD No:IDMD0005137 ; Organization:Commercial ; OS:S3 ; Hostname:USCVLO2DEV01 ; Name:az-us-commercial-o2-datalake-dev ;  
az-us-commercial-o2-datalake-temp-test,us-east-1,Test,587111,N/ACreation Date:20180817 ; IDMD No:IDMD0005137 ; Organization:Commercial ; OS:S3 ; Hostname:USCVLO2TEST01 ; Name:az-us-commercial-o2-datalake-temp-test ;  
az-us-commercial-o2-ims-temp-dev,us-east-1,N/A,N/A,N/A 
az-us-commercial-o2-ims-temp-test,us-east-1,Test,587111,N/ACreation Date:20180522 ; IDMD No:IDMD0005137 ; Organization:Commercial ; OS:S3 ; Hostname:USCVLO2TEST01 ; Name:az-us-commercial-o2-datalake-test ;  
az-us-commercial-o2-inbound-temp-dev,us-east-1,Dev,587111,N/ACreation Date:20180422 ; IDMD No:IDMD0005137 ; Organization:Commercial ; OS:S3 ; Hostname:USCVLO2DEV01 ; Name:az-us-commercial-o2-inbound-dev ;  
az-us-commercial-o2-inbound-temp-test,us-east-1,Test,587111,N/ACreation Date:20180522 ; IDMD No:IDMD0005137 ; Organization:Commercial ; OS:S3 ; Hostname:USCVLO2TEST01 ; Name:az-us-commercial-o2-inbound-test ;  
az-us-commercial-o2-logs-temp-dev,us-east-1,Dev,587111,N/ACreation Date:20180828 ; IDMD No:IDMD0005137 ; Organization:Commercial ; OS:S3 ; Hostname:USCVLO2DEV01 ; Name:az-us-commercial-o2-logs-temp-dev ;  
az-us-commercial-o2-migration-dev,us-east-1,N/A,N/A,N/A 
az-us-commercial-o2-publish-dev-temp,us-east-1,N/A,N/A,N/A 
az-us-commercial-o2-publish-temp-dev,us-east-1,Dev,587111,N/ACreation Date:20180422 ; IDMD No:IDMD0005137 ; Organization:Commercial ; OS:S3 ; Hostname:USCVLO2DEV01 ; Name:az-us-commercial-o2-publish-dev ;  
az-us-commercial-o2-publish-temp-test,us-east-1,Test,587111,N/ACreation Date:20180817 ; IDMD No:IDMD0005137 ; Organization:Commercial ; OS:S3 ; Hostname:USCVLO2TEST01 ; Name:az-us-commercial-o2-publish-temp-test ;  
az-us-commercial-o2-publish-test-temp,us-east-1,N/A,N/A,N/A 
az-us-commercial-o2-sandbox-temp-test,us-east-1,N/A,N/A,N/A 
